Time[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.2153	22	4747	0	63	68.999184	45.533733	-114.800700	0.983676	0.074199	0.002283	-0.163924	2	63								3	63	-103.078420	-29.433485	15.269455	0.694532	-0.209445	-0.688301	0.000000	4	63	-71.153824	-66.921631	15.336151	0.702036	0.127454	0.700643	0.000000	5	63	-79.366699	-50.201740	14.228073	0.812103	-0.508307	0.286553	0.000000	6	63	-111.826260	-23.124405	16.843117	0.742502	-0.346098	-0.573504	0.000000	7	63	-82.976288	-8.906162	9.643555	0.644318	-0.681561	-0.346886	0.000000
0.2253	23	4967	0	63	68.803154	45.885212	-114.593250	0.983799	0.074647	0.002149	-0.162980	2	63	-87.532173	-51.082649	-6.065682	0.253074	0.514428	0.819340	0.000000	3	63	-103.068560	-29.379293	15.295418	0.694602	-0.209732	-0.688143	0.000000	4	63	-70.679840	-67.397110	15.793167	0.708892	0.150316	0.689114	0.000000	5	63	-78.798904	-50.116947	14.188545	0.808748	-0.527582	0.259970	0.000000	6	63	-111.735600	-22.960627	16.772469	0.742148	-0.350127	-0.571513	0.000000	7	63	-82.960037	-8.881695	9.624504	0.644122	-0.681843	-0.346695	0.000000
0.2353	24	5188	0	63	68.578575	46.252415	-114.387740	0.983901	0.075129	0.002107	-0.162141	2	63	-87.560997	-51.057198	-6.090889	0.252597	0.515018	0.819116	0.000000	3	63	-103.020700	-29.382601	15.278404	0.694528	-0.209852	-0.688181	0.000000	4	63	-70.261147	-67.506813	15.781876	0.713992	0.179365	0.676790	0.000000	5	63	-78.296944	-49.976875	14.248123	0.802465	-0.544516	0.244035	0.000000	6	63	-111.624010	-22.880024	16.663200	0.741575	-0.353311	-0.570297	0.000000	7	63	-82.929199	-8.836304	9.589294	0.644173	-0.681987	-0.346315	0.000000
0.2453	25	5408	0	63	68.376999	46.627808	-114.261520	0.984018	0.075381	0.002225	-0.161310	2	63	-87.549622	-50.970104	-6.069122	0.252328	0.513600	0.820089	0.000000	3	63	-103.030460	-29.377100	15.254799	0.694523	-0.209760	-0.688214	0.000000	4	63	-70.184540	-67.677528	16.086502	0.717850	0.204562	0.665467	0.000000	5	63	-77.710419	-49.800121	14.069679	0.795239	-0.557343	0.238671	0.000000	6	63	-111.533290	-22.753315	16.597466	0.741094	-0.356665	-0.568832	0.000000	7	63	-82.929321	-8.817627	9.581963	0.644195	-0.682076	-0.346099	0.000000
0.2553	26	5629	0	63	68.218491	46.935848	-114.079770	0.984095	0.075557	0.002029	-0.160760	2	63	-87.518097	-50.960247	-6.067284	0.252511	0.514493	0.819472	0.000000	3	63	-103.024880	-29.334959	15.257507	0.694629	-0.209723	-0.688119	0.000000	4	63	-70.346535	-67.990311	16.262627	0.720509	0.222870	0.656655	0.000000	5	63	-77.526535	-49.512325	14.049370	0.787772	-0.568722	0.236582	0.000000	6	63	-111.523850	-22.666349	16.535049	0.740833	-0.358370	-0.568101	0.000000	7	63	-82.963287	-8.766975	9.562027	0.644344	-0.682037	-0.345901	0.000000
0.2653	27	5849	0	63	68.052856	47.349186	-113.901450	0.984185	0.076101	0.002005	-0.159954	2	63	-87.613091	-50.998756	-6.070053	0.252120	0.516297	0.818458	0.000000	3	63	-103.033160	-29.310154	15.219360	0.694564	-0.210157	-0.688052	0.000000	4	63	-70.687340	-68.320381	16.336761	0.721730	0.238143	0.649919	0.000000	5	63	-77.587868	-49.177017	14.153381	0.782161	-0.578954	0.230297	0.000000	6	63	-111.475850	-22.619745	16.480339	0.740338	-0.359439	-0.568070	0.000000	7	63	-82.959221	-8.765015	9.497444	0.644122	-0.682377	-0.345642	0.000000
0.2752	28	6069	0	63	67.923210	47.742592	-113.760180	0.984266	0.076634	0.001792	-0.159198	2	63	-87.602638	-51.182793	-6.153168	0.253175	0.517316	0.817488	0.000000	3	63	-103.054500	-29.323259	15.275314	0.694498	-0.210482	-0.688019	0.000000	4	63	-70.967491	-68.515381	16.443573	0.722069	0.252358	0.644153	0.000000	5	63	-77.622879	-49.031040	14.259644	0.778649	-0.585659	0.225189	0.000000	6	63	-111.508000	-22.547443	16.450424	0.740267	-0.360628	-0.567408	0.000000	7	63	-82.915565	-8.820206	9.585876	0.643561	-0.682974	-0.345508	0.000000
0.2852	29	6289	0	63	67.761711	48.083668	-113.614070	0.984355	0.076647	0.001754	-0.158642	2	63	-87.534973	-51.250423	-6.280029	0.253698	0.514741	0.818950	0.000000	3	63	-103.021500	-29.358103	15.254791	0.694426	-0.210462	-0.688098	0.000000	4	63	-71.224220	-68.783234	16.468216	0.721489	0.263565	0.640303	0.000000	5	63	-77.628738	-48.986256	14.168388	0.777504	-0.587068	0.225473	0.000000	6	63	-111.469180	-22.514822	16.419060	0.740261	-0.361626	-0.566781	0.000000	7	63	-82.931595	-8.793976	9.564545	0.643765	-0.683040	-0.344997	0.000000
0.2952	30	6510	0	63	67.634560	48.464901	-113.462690	0.984394	0.077331	0.001689	-0.158068	2	63	-87.565834	-51.115120	-6.122780	0.253040	0.515432	0.818719	0.000000	3	63	-103.012360	-29.390526	15.297966	0.694200	-0.210275	-0.688383	0.000000	4	63	-71.497711	-69.145218	16.453659	0.720491	0.270672	0.638459	0.000000	5	63	-77.659439	-49.111420	14.224838	0.777402	-0.586876	0.226323	0.000000	6	63	-111.439040	-22.519838	16.437012	0.739971	-0.362454	-0.566631	0.000000	7	63	-82.951111	-8.826912	9.574257	0.643339	-0.683358	-0.345163	0.000000
0.3052	31	6730	0	63	67.426170	48.772758	-113.197060	0.984479	0.077581	0.001565	-0.157419	2	63	-87.517380	-50.983685	-6.149963	0.252660	0.513573	0.820003	0.000000	3	63	-102.971830	-29.353827	15.185074	0.694189	-0.210315	-0.688382	0.000000	4	63	-71.554916	-69.234573	16.358582	0.720128	0.276294	0.636457	0.000000	5	63	-77.670868	-49.115974	14.168991	0.779714	-0.583658	0.226692	0.000000	6	63	-111.400630	-22.420336	16.292801	0.740004	-0.362647	-0.566464	0.000000	7	63	-82.903664	-8.741230	9.465424	0.643331	-0.683473	-0.344949	0.000000
0.3152	32	6950	0	63	67.327957	49.114292	-113.060940	0.984541	0.077731	0.001315	-0.156957	2	63	-87.549797	-51.024986	-6.023628	0.252588	0.514786	0.819265	0.000000	3	63	-103.042790	-29.361395	15.242134	0.694420	-0.210256	-0.688166	0.000000	4	63	-71.652077	-69.447655	16.433578	0.720379	0.278213	0.635336	0.000000	5	63	-77.782043	-49.205978	14.250282	0.782481	-0.580030	0.226470	0.000000	6	63	-111.452630	-22.471920	16.343628	0.739983	-0.362442	-0.566623	0.000000	7	63	-82.926399	-8.816444	9.528427	0.643252	-0.683543	-0.344958	0.000000
0.3252	33	7170	0	63	67.182274	49.459839	-112.856360	0.984628	0.078105	0.001139	-0.156222	2	63	-87.540771	-51.030270	-5.966042	0.252893	0.516250	0.818249	0.000000	3	63	-103.035550	-29.272459	15.224701	0.694406	-0.210979	-0.687959	0.000000	4	63	-71.750710	-69.516327	16.360039	0.719944	0.274503	0.637439	0.000000	5	63	-77.743027	-49.289692	14.198547	0.785377	-0.575883	0.227030	0.000000	6	63	-111.453430	-22.422237	16.303947	0.739794	-0.363432	-0.566234	0.000000	7	63	-82.934357	-8.831749	9.519547	0.643086	-0.683652	-0.345051	0.000000
0.3352	34	7391	0	63	67.049103	49.756817	-112.615780	0.984680	0.078562	0.000845	-0.155670	2	63	-87.560127	-51.221985	-6.121109	0.253610	0.518210	0.816787	0.000000	3	63	-103.029760	-29.295010	15.206337	0.694321	-0.210693	-0.688132	0.000000	4	63	-71.839401	-69.499809	16.271347	0.718750	0.265994	0.642375	0.000000	5	63	-78.072052	-49.242268	14.308891	0.787814	-0.572670	0.226711	0.000000	6	63	-111.445970	-22.417595	16.271133	0.739603	-0.363940	-0.566159	0.000000	7	63	-82.924034	-8.795937	9.483742	0.642991	-0.683648	-0.345236	0.000000
